date,Team_1,Team_2,Winner,Margin,Ground
"Mar 20, 2023",Bangladesh,Ireland,no result,-,Sylhet
"Mar 21, 2023",Zimbabwe,Netherlands,Netherlands,3 wickets,Harare
"Mar 21, 2023",South Africa,West Indies,South Africa,4 wickets,Potchefstroom
"Mar 22, 2023",India,Australia,Australia,21 runs,Chennai
"Mar 23, 2023",Zimbabwe,Netherlands,Zimbabwe,1 run,Harare
"Mar 23, 2023",Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet
"Mar 25, 2023",New Zealand,Sri Lanka,New Zealand,198 runs,Auckland
"Mar 25, 2023",Zimbabwe,Netherlands,Zimbabwe,7 wickets,Harare
"Mar 26, 2023",Namibia,U.S.A.,U.S.A.,80 runs,Windhoek
"Mar 27, 2023",P.N.G.,U.A.E.,U.A.E.,21 runs,Windhoek
"Mar 27, 2023",Canada,Jersey,Canada,31 runs,Windhoek
"Mar 29, 2023",Canada,U.S.A.,Canada,26 runs,Windhoek
"Mar 29, 2023",Namibia,P.N.G.,Namibia,48 runs,Windhoek
"Mar 30, 2023",Namibia,Jersey,Namibia,8 wickets,Windhoek
"Mar 30, 2023",U.A.E.,U.S.A.,U.S.A.,5 wickets,Windhoek
"Mar 31, 2023",New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton
"Mar 31, 2023",South Africa,Netherlands,South Africa,8 wickets,Benoni
"Apr 1, 2023",Canada,U.A.E.,U.A.E.,6 wickets,Windhoek
"Apr 1, 2023",Jersey,P.N.G.,Jersey,11 runs,Windhoek
"Apr 2, 2023",P.N.G.,U.S.A.,U.S.A.,117 runs,Windhoek
"Apr 2, 2023",Namibia,U.A.E.,U.A.E.,28 runs,Windhoek
"Apr 2, 2023",South Africa,Netherlands,South Africa,146 runs,Johannesburg
"Apr 4, 2023",Namibia,Canada,Namibia,111 runs,Windhoek
"Apr 4, 2023",Jersey,U.S.A.,U.S.A.,25 runs,Windhoek
"Apr 5, 2023",Jersey,U.A.E.,U.A.E.,66 runs,Windhoek
"Apr 5, 2023",Canada,P.N.G.,Canada,90 runs,Windhoek
"Apr 21, 2023",Nepal,Oman,Nepal,84 runs,Kirtipur
"Apr 27, 2023",Pakistan,New Zealand,Pakistan,5 wickets,Rawalpindi
"Apr 29, 2023",Oman,U.A.E.,U.A.E.,2 runs,Mulpani
"Apr 29, 2023",Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi
"May 1-2, 2023",Nepal,U.A.E.,Nepal,7 wickets,Kirtipur
"May 3, 2023",Pakistan,New Zealand,Pakistan,26 runs,Karachi
"May 5, 2023",Pakistan,New Zealand,Pakistan,102 runs,Karachi
"May 7, 2023",Pakistan,New Zealand,New Zealand,47 runs,Karachi
"May 9, 2023",Bangladesh,Ireland,no result,-,Chelmsford
"May 12, 2023",Bangladesh,Ireland,Bangladesh,3 wickets,Chelmsford
"May 14, 2023",Bangladesh,Ireland,Bangladesh,5 runs,Chelmsford
"Jun 2, 2023",Sri Lanka,Afghanistan,Afghanistan,6 wickets,Hambantota
"Jun 4, 2023",Sri Lanka,Afghanistan,Sri Lanka,132 runs,Hambantota
"Jun 4, 2023",U.A.E.,West Indies,West Indies,7 wickets,Sharjah
"Jun 6, 2023",U.A.E.,West Indies,West Indies,78 runs,Sharjah
"Jun 7, 2023",Sri Lanka,Afghanistan,Sri Lanka,9 wickets,Hambantota
"Jun 9, 2023",U.A.E.,West Indies,West Indies,4 wickets,Sharjah
"Jun 18, 2023",Zimbabwe,Nepal,Zimbabwe,8 wickets,Harare
"Jun 18, 2023",U.S.A.,West Indies,West Indies,39 runs,Harare
"Jun 19, 2023",Sri Lanka,U.A.E.,Sri Lanka,175 runs,Bulawayo
"Jun 19, 2023",Ireland,Oman,Oman,5 wickets,Bulawayo
"Jun 20, 2023",Zimbabwe,Netherlands,Zimbabwe,6 wickets,Harare
"Jun 20, 2023",Nepal,U.S.A.,Nepal,6 wickets,Harare
"Jun 21, 2023",Ireland,Scotland,Scotland,1 wicket,Bulawayo
"Jun 21, 2023",Oman,U.A.E.,Oman,5 wickets,Bulawayo
"Jun 22, 2023",Nepal,West Indies,West Indies,101 runs,Harare
"Jun 22, 2023",Netherlands,U.S.A.,Netherlands,5 wickets,Harare
"Jun 23, 2023",Oman,Sri Lanka,Sri Lanka,10 wickets,Bulawayo
"Jun 23, 2023",Scotland,U.A.E.,Scotland,111 runs,Bulawayo
"Jun 24, 2023",Zimbabwe,West Indies,Zimbabwe,35 runs,Harare
"Jun 24, 2023",Nepal,Netherlands,Netherlands,7 wickets,Harare
"Jun 25, 2023",Ireland,Sri Lanka,Sri Lanka,133 runs,Bulawayo
"Jun 25, 2023",Oman,Scotland,Scotland,76 runs,Bulawayo
"Jun 26, 2023",Zimbabwe,U.S.A.,Zimbabwe,304 runs,Harare
"Jun 26, 2023",Netherlands,West Indies,tied,-,Harare
"Jun 27, 2023",Scotland,Sri Lanka,Sri Lanka,82 runs,Bulawayo
"Jun 27, 2023",Ireland,U.A.E.,Ireland,138 runs,Bulawayo
"Jun 29, 2023",Zimbabwe,Oman,Zimbabwe,14 runs,Bulawayo
"Jun 30, 2023",Netherlands,Sri Lanka,Sri Lanka,21 runs,Bulawayo
"Jun 30, 2023",Ireland,U.S.A.,Ireland,6 wickets,Harare
"Jul 1, 2023",Scotland,West Indies,Scotland,7 wickets,Harare
"Jul 2, 2023",Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo
"Jul 2, 2023",Nepal,U.A.E.,Nepal,3 wickets,Harare
"Jul 3, 2023",Netherlands,Oman,Netherlands,74 runs,Harare
"Jul 4, 2023",Zimbabwe,Scotland,Scotland,31 runs,Bulawayo
"Jul 4, 2023",Ireland,Nepal,Ireland,2 wickets,Harare
"Jul 5, 2023",Oman,West Indies,West Indies,7 wickets,Harare
"Jul 5, 2023",Bangladesh,Afghanistan,Afghanistan,17 runs,Chattogram
"Jul 6, 2023",Netherlands,Scotland,Netherlands,4 wickets,Bulawayo
"Jul 6, 2023",U.A.E.,U.S.A.,U.A.E.,1 run,Harare
"Jul 7, 2023",Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare
"Jul 8, 2023",Bangladesh,Afghanistan,Afghanistan,142 runs,Chattogram
"Jul 9, 2023",Netherlands,Sri Lanka,Sri Lanka,128 runs,Harare
"Jul 11, 2023",Bangladesh,Afghanistan,Bangladesh,7 wickets,Chattogram
"Jul 27, 2023",West Indies,India,India,5 wickets,Bridgetown
"Jul 29, 2023",West Indies,India,West Indies,6 wickets,Bridgetown
"Aug 1, 2023",West Indies,India,India,200 runs,Tarouba
"Aug 22, 2023",Afghanistan,Pakistan,Pakistan,142 runs,Hambantota
"Aug 24, 2023",Afghanistan,Pakistan,Pakistan,1 wicket,Hambantota
"Aug 26, 2023",Afghanistan,Pakistan,Pakistan,59 runs,Colombo (RPS)
"Aug 30, 2023",Pakistan,Nepal,Pakistan,238 runs,Multan
"Aug 31, 2023",Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Pallekele
"Sep 2, 2023",India,Pakistan,no result,-,Pallekele
"Sep 3, 2023",Afghanistan,Bangladesh,Bangladesh,89 runs,Lahore
"Sep 4, 2023",India,Nepal,India,10 wickets,Pallekele
"Sep 5, 2023",Afghanistan,Sri Lanka,Sri Lanka,2 runs,Lahore
"Sep 6, 2023",Pakistan,Bangladesh,Pakistan,7 wickets,Lahore
"Sep 7, 2023",South Africa,Australia,Australia,3 wickets,Bloemfontein
"Sep 8, 2023",England,New Zealand,New Zealand,8 wickets,Cardiff
"Sep 9, 2023",Sri Lanka,Bangladesh,Sri Lanka,21 runs,Colombo (RPS)
"Sep 9, 2023",South Africa,Australia,Australia,123 runs,Bloemfontein
"Sep 10-11, 2023",India,Pakistan,India,228 runs,Colombo (RPS)
"Sep 10, 2023",England,New Zealand,England,79 runs,Southampton
"Sep 12, 2023",Sri Lanka,India,India,41 runs,Colombo (RPS)
"Sep 12, 2023",South Africa,Australia,South Africa,111 runs,Potchefstroom
"Sep 13, 2023",England,New Zealand,England,181 runs,The Oval
"Sep 14, 2023",Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS)
"Sep 15, 2023",Bangladesh,India,Bangladesh,6 runs,Colombo (RPS)
"Sep 15, 2023",South Africa,Australia,South Africa,164 runs,Centurion
"Sep 15, 2023",England,New Zealand,England,100 runs,Lord's
"Sep 17, 2023",South Africa,Australia,South Africa,122 runs,Johannesburg
"Sep 17, 2023",Sri Lanka,India,India,10 wickets,Colombo (RPS)
"Sep 21, 2023",Bangladesh,New Zealand,no result,-,Mirpur
"Sep 22, 2023",India,Australia,India,5 wickets,Mohali
"Sep 23, 2023",Bangladesh,New Zealand,New Zealand,86 runs,Mirpur
"Sep 23, 2023",England,Ireland,England,48 runs,Nottingham
"Sep 24, 2023",India,Australia,India,99 runs,Indore
"Sep 26, 2023",Bangladesh,New Zealand,New Zealand,7 wickets,Mirpur
"Sep 26, 2023",England,Ireland,no result,-,Bristol
"Sep 27, 2023",India,Australia,Australia,66 runs,Rajkot
